The format of each line in this txt is (video_path,annotation_path,start_frame_id,end_frame_id)
airplane/airplane-10/img,airplane/airplane-10/groundtruth.txt,1,1568
airplane/airplane-11/img,airplane/airplane-11/groundtruth.txt,1,5016
airplane/airplane-12/img,airplane/airplane-12/groundtruth.txt,1,2660
airplane/airplane-14/img,airplane/airplane-14/groundtruth.txt,1,2821
airplane/airplane-16/img,airplane/airplane-16/groundtruth.txt,1,11397
airplane/airplane-17/img,airplane/airplane-17/groundtruth.txt,1,2401
airplane/airplane-18/img,airplane/airplane-18/groundtruth.txt,1,1381
airplane/airplane-19/img,airplane/airplane-19/groundtruth.txt,1,1901
airplane/airplane-2/img,airplane/airplane-2/groundtruth.txt,1,8301
airplane/airplane-20/img,airplane/airplane-20/groundtruth.txt,1,5951
airplane/airplane-3/img,airplane/airplane-3/groundtruth.txt,1,2040
airplane/airplane-4/img,airplane/airplane-4/groundtruth.txt,1,5141
airplane/airplane-5/img,airplane/airplane-5/groundtruth.txt,1,5923
airplane/airplane-6/img,airplane/airplane-6/groundtruth.txt,1,1101
airplane/airplane-7/img,airplane/airplane-7/groundtruth.txt,1,2888
airplane/airplane-8/img,airplane/airplane-8/groundtruth.txt,1,7201
basketball/basketball-10/img,basketball/basketball-10/groundtruth.txt,1,1911
basketball/basketball-12/img,basketball/basketball-12/groundtruth.txt,1,1861
basketball/basketball-13/img,basketball/basketball-13/groundtruth.txt,1,2640
basketball/basketball-14/img,basketball/basketball-14/groundtruth.txt,1,1929
basketball/basketball-15/img,basketball/basketball-15/groundtruth.txt,1,2147
basketball/basketball-16/img,basketball/basketball-16/groundtruth.txt,1,1885
basketball/basketball-17/img,basketball/basketball-17/groundtruth.txt,1,1800
basketball/basketball-18/img,basketball/basketball-18/groundtruth.txt,1,2601
basketball/basketball-19/img,basketball/basketball-19/groundtruth.txt,1,1194
basketball/basketball-2/img,basketball/basketball-2/groundtruth.txt,1,2081
basketball/basketball-20/img,basketball/basketball-20/groundtruth.txt,1,4500
basketball/basketball-3/img,basketball/basketball-3/groundtruth.txt,1,3374
basketball/basketball-4/img,basketball/basketball-4/groundtruth.txt,1,1756
basketball/basketball-5/img,basketball/basketball-5/groundtruth.txt,1,1010
basketball/basketball-8/img,basketball/basketball-8/groundtruth.txt,1,3321
basketball/basketball-9/img,basketball/basketball-9/groundtruth.txt,1,6841
bear/bear-1/img,bear/bear-1/groundtruth.txt,1,1266
bear/bear-10/img,bear/bear-10/groundtruth.txt,1,1335
bear/bear-11/img,bear/bear-11/groundtruth.txt,1,1727
bear/bear-12/img,bear/bear-12/groundtruth.txt,1,1375
bear/bear-13/img,bear/bear-13/groundtruth.txt,1,1821
bear/bear-14/img,bear/bear-14/groundtruth.txt,1,4681
bear/bear-15/img,bear/bear-15/groundtruth.txt,1,3465
bear/bear-16/img,bear/bear-16/groundtruth.txt,1,7616
bear/bear-18/img,bear/bear-18/groundtruth.txt,1,1281
bear/bear-19/img,bear/bear-19/groundtruth.txt,1,1920
bear/bear-20/img,bear/bear-20/groundtruth.txt,1,1156
bear/bear-3/img,bear/bear-3/groundtruth.txt,1,3000
bear/bear-5/img,bear/bear-5/groundtruth.txt,1,1000
bear/bear-7/img,bear/bear-7/groundtruth.txt,1,5845
